name	pname	cityname	adname	address	location	lng	lat	rating	cost
塔坪段氏串串香(大兴村直营店)	重庆市	重庆市	江北区	兴隆路1号附6号	106.539406,29.578021	106.55766585007548	29.574639200882807	4.0	38.00
泰式甜品	重庆市	重庆市	江北区	建新北路茂业天地LG层(茂业星巴克旁边)	106.533358,29.576279	106.55766585007548	29.574639200882807	4.0	60.00
小强全牛火锅(五红路店)	重庆市	重庆市	江北区	五红路19附22-23号	106.555503,29.583604	106.55766585007548	29.574639200882807	4.0	60.00
韩记老回味串串香	重庆市	重庆市	江北区	兴竹路119号附7号	106.527978,29.567442	106.55766585007548	29.574639200882807	3.5	30.00
钱滚翻老火锅(总店)	重庆市	重庆市	江北区	万丰一村15号附3号	106.553844,29.579049	106.55766585007548	29.574639200882807	3.5	[]
大队长主题火锅(观音桥店)	重庆市	重庆市	江北区	建新西路4号附10-11号拓展大厦B1层	106.531645,29.571876	106.55766585007548	29.574639200882807	5.0	85.00
辉虎潮汕海鲜肥牛馆(北滨一路)	重庆市	重庆市	江北区	北滨路鎏嘉码头4区珠江太阳城A区2层	106.563158,29.570407	106.55766585007548	29.574639200882807	3.5	92.00
重庆火锅天下宴博物馆(北滨路店)	重庆市	重庆市	江北区	北滨一路188号附1号鎏嘉码头	106.561310,29.570711	106.55766585007548	29.574639200882807	3.5	142.00
九格子老火锅(鹞子丘直营店)	重庆市	重庆市	江北区	建北六支路76号	106.529202,29.578191	106.55766585007548	29.574639200882807	3.5	63.00
潮火锅(观音桥金源店)	重庆市	重庆市	江北区	建新北路二支路1号金源不夜城B1层(近华谊兄弟影城)	106.531674,29.574439	106.55766585007548	29.574639200882807	5.0	83.00
潮牛海记(龙湖重庆北城天街)	重庆市	重庆市	江北区	北城天街6、8、10号龙湖重庆北城天街F4层	106.534561,29.578179	106.55766585007548	29.574639200882807	4.5	98.00
藏香居(首创鸿恩店)	重庆市	重庆市	江北区	首创鸿恩红盛路88号附168号	106.496413,29.569679	106.55766585007548	29.574639200882807	3.5	16.00
桂记老火锅	重庆市	重庆市	江北区	建新东路大兴村车站城市丽都161号	106.543907,29.573385	106.55766585007548	29.574639200882807	3.5	46.00
江村长全羊馆	重庆市	重庆市	江北区	大石坝红盛路37号东原新新PARK购物中心UG层(任吉老砂锅对面2楼)	106.497199,29.570729	106.55766585007548	29.574639200882807	3.5	35.00
二两三两原创火锅米线	重庆市	重庆市	江北区	观音桥步行街5号附6号	106.531305,29.572540	106.55766585007548	29.574639200882807	3.5	14.00
菜园坝老火锅(读书梁总店)	重庆市	重庆市	江北区	读书梁一村8号附9-2-3(重庆生殖健康医院大门右边,鑫辰宾馆旁)	106.522025,29.580442	106.55766585007548	29.574639200882807	3.5	34.00
何老头传统老火锅(总店)	重庆市	重庆市	江北区	龙山路603号(升伟新意境售房部对面)	106.483619,29.589472	106.55766585007548	29.574639200882807	3.5	66.00
佰味王串串香(观音桥小苑店)	重庆市	重庆市	江北区	小苑二村2号附13-14号	106.525972,29.573587	106.55766585007548	29.574639200882807	3.5	29.00
百年锅火锅(船舶大厦东南)	重庆市	重庆市	江北区	建新东路21号附5号	106.538726,29.574563	106.55766585007548	29.574639200882807	3.5	49.00
1981老山城火锅	重庆市	重庆市	江北区	龙山路601号	106.483573,29.589462	106.55766585007548	29.574639200882807	[]	[]
